YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2004-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.071,1,0.071,1,0.255,1,0.16,0
2004-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.071,1,0.071,1,0.255,1,0.16,0
2004-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.071,1,0.071,1,0.255,1,0.16,0
2004-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.071,1,0.071,1,0.255,1,0.16,0
2004-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.071,1,0.071,1,0.255,1,0.16,0
2004-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.071,1,0.071,1,0.255,1,0.16,0
2004-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.071,1,0.071,1,0.255,1,0.16,0
2004-01-01,8:00,86.9,121.6,49,908,2,0,8,0,0,15,2,0,8,7,10,0,16,7,10,20,10,221,16,8,10,-9900,99,-9900,99,-9900,99,2.5,3,0.071,1,0.033,1,0.255,1,0.16,0
2004-01-01,9:00,79.1,129.7,267,1415,27,0,8,0,0,15,27,0,8,53,10,0,16,53,10,149,10,641,16,28,10,-9900,99,-9900,99,-9900,99,2.5,3,0.071,1,0.033,1,0.255,1,0.16,0
2004-01-01,10:00,70.7,141.0,467,1415,53,0,8,0,0,15,53,0,8,100,10,0,16,100,10,303,10,799,16,39,10,-9900,99,-9900,99,-9900,99,2.5,3,0.071,1,0.033,1,0.255,1,0.16,0
2004-01-01,11:00,64.3,154.2,614,1415,73,0,8,0,0,15,73,0,8,135,10,0,16,135,10,425,10,870,16,48,10,-9900,99,-9900,99,-9900,99,2.5,3,0.071,1,0.033,1,0.255,1,0.16,0
2004-01-01,12:00,60.5,169.2,697,1415,84,0,8,0,0,15,84,0,8,155,10,0,16,155,10,496,10,900,16,52,10,-9900,99,-9900,99,-9900,99,2.4,3,0.071,1,0.033,1,0.255,1,0.16,0
2004-01-01,13:00,59.9,185.1,710,1415,87,0,8,0,0,15,87,0,8,158,10,0,16,158,10,507,10,905,16,53,10,-9900,99,-9900,99,-9900,99,2.4,3,0.071,1,0.033,1,0.255,1,0.16,0
2004-01-01,14:00,62.5,200.5,652,1415,79,0,8,0,0,15,79,0,8,144,10,0,16,144,10,459,10,888,16,50,10,-9900,99,-9900,99,-9900,99,2.2,3,0.071,1,0.033,1,0.255,1,0.16,0
