Row,MI,BatteryExhausted,GEN1_Fuel_Empty,GEN2_Fuel_Empty,LoadShed_1,LoadShed_2,LoadShed_3,LoadShed_4,LoadShed_5,ShedHours_1,ShedHours_2,ShedHours_3,ShedHours_4,ShedHours_5
mean,290.95,1.2,6.5,6.5,3.3525576865092,3.3525576865092,39.2916456719025,328.799276469086,13.0576366919714,1.15,1.15,1.15,1.15,1.15
max,5819,24,57,57,67.051153730184,67.051153730184,785.83291343805,6575.98552938172,261.152733839427,23,23,23,23,23
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std,1268.22164762316,5.23067873224881,16.7526117366815,16.7526117366815,14.6134601578841,14.6134601578841,171.26831280923,1433.20281883804,56.916918781772,5.01273378507177,5.01273378507177,5.01273378507177,5.01273378507177,5.01273378507177
size,20,20,20,20,20,20,20,20,20,20,20,20,20,20
