DateTime,B2_BT1,B2_B1,B1_B2,B1_EP1,B2_EP3,B2_EP4,B1_EP5,B1_EP6,B1_GEN1,B1_GEN2,B2_PV,B1_UG,BT1_Charge,BT1_Lost
01-Jan-2000 02:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 03:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 04:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 05:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 06:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 07:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 08:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 09:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 10:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 11:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 12:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 13:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 14:00:00,3.5527136788005e-15,-11.198492492057,11.198492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-64.2499659339965,-64.2499659339965,-2.16,0,3000,0
01-Jan-2000 15:00:00,0,110.301507507943,-110.301507507943,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-3.4999659339965,-3.4999659339965,-123.66,0,3000,0
01-Jan-2000 16:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 17:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 18:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 19:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 20:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 21:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 22:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
01-Jan-2000 23:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
02-Jan-2000 00:00:00,0,-13.358492492057,13.358492492057,1.243012119024,1.243012119024,12.115480373033,112.6400431744,3.41838408251199,-65.3299659339965,-65.3299659339965,0,0,3000,0
02-Jan-2000 01:00:00,0,-17.318753540543,17.318753540543,1.611515711832,1.611515711832,15.707237828711,146.03333030996,3.41838408251201,-84.1909918224235,-84.1909918224235,0,0,3000,0
02-Jan-2000 02:00:00,0,-17.318753540543,17.318753540543,1.611515711832,1.611515711832,15.707237828711,146.03333030996,3.41838408251201,-84.1909918224235,-84.1909918224235,0,0,3000,0
02-Jan-2000 03:00:00,0,-17.318753540543,17.318753540543,1.611515711832,1.611515711832,15.707237828711,146.03333030996,3.41838408251201,-84.1909918224235,-84.1909918224235,0,0,3000,0
02-Jan-2000 04:00:00,0,-17.318753540543,17.318753540543,1.611515711832,1.611515711832,15.707237828711,146.03333030996,3.41838408251201,-84.1909918224235,-84.1909918224235,0,0,3000,0
02-Jan-2000 05:00:00,0,-17.318753540543,17.318753540543,1.611515711832,1.611515711832,15.707237828711,146.03333030996,3.41838408251201,-84.1909918224235,-84.1909918224235,0,0,3000,0
