Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly)
 01/01  01:00:00,16.7379131154,1.32208884097,0.0,0.0,5.48122459637,1.0115996781,43.3928289356,43.3928289356
 01/01  02:00:00,16.6171091014,1.20128482696,0.0,0.0,5.48122459637,1.0115996781,39.3719913577,39.3719913577
 01/01  03:00:00,17.1006152769,1.68479100239,0.0,0.0,5.48122459637,1.0115996781,55.4729087617,55.4729087617
 01/01  04:00:00,16.7011532255,1.28532895099,0.0,0.0,5.48122459637,1.0115996781,42.1547116247,42.1547116247
 01/01  05:00:00,17.2073050779,1.79148080347,0.0,0.0,5.48122459637,1.0115996781,59.0219751422,59.0219751422
 01/01  06:00:00,16.8216483969,1.40582412248,0.0,0.0,5.48122459637,1.0115996781,46.1337935929,46.1337935929
 01/01  07:00:00,17.3929337489,1.97710947442,0.0,0.0,5.48122459637,1.0115996781,65.2824240962,65.2824240962
 01/01  08:00:00,11.0168928816,1.54973527376,0.0,0.0,5.48122459637,1.0115996781,50.9946973182,50.9946973182
 01/01  09:00:00,8.39795344273,1.90512916826,0.0,0.0,5.48122459637,1.0115996781,62.9313132058,62.9313132058
 01/01  10:00:00,7.66883412213,1.17600984767,0.0,0.0,5.48122459637,1.0115996781,38.5177164128,38.5177164128
 01/01  11:00:00,7.64571169055,1.15288741608,0.0,0.0,5.48122459637,1.0115996781,37.7488110249,37.7488110249
 01/01  12:00:00,7.08514211762,0.592317843151,0.0,0.0,5.48122459637,1.0115996781,19.2533373375,19.2533373375
 01/01  13:00:00,6.82043704841,0.327612773943,0.0,0.0,5.48122459637,1.0115996781,10.4479780058,10.4479780058
 01/01  14:00:00,6.53573874087,0.042914466403,0.0,0.0,5.48122459637,1.0115996781,1.1403678655,1.1403678655
 01/01  15:00:00,6.52236375958,0.0295394851122,0.0,0.0,5.48122459637,1.0115996781,0.784953942312,0.784953942312
 01/01  16:00:00,6.52245872307,0.0296344486037,0.0,0.0,5.48122459637,1.0115996781,0.787477411044,0.787477411044
 01/01  17:00:00,8.10102906642,0.121038125289,0.0,0.0,5.48122459637,1.0115996781,3.88370448637,3.88370448637
 01/01  18:00:00,15.803035412,0.387211137515,0.0,0.0,5.48122459637,1.0115996781,12.4893761875,12.4893761875
 01/01  19:00:00,15.898496333,0.482672058552,0.0,0.0,5.48122459637,1.0115996781,15.7118213816,15.7118213816
 01/01  20:00:00,16.2086034258,0.792779151298,0.0,0.0,5.48122459637,1.0115996781,25.8672509508,25.8672509508
 01/01  21:00:00,16.0460256829,0.630201408414,0.0,0.0,5.48122459637,1.0115996781,20.5330309289,20.5330309289
 01/01  22:00:00,16.3690601519,0.953235877401,0.0,0.0,5.48122459637,1.0115996781,31.1710777764,31.1710777764
 01/01  23:00:00,16.2698773064,0.854053031933,0.0,0.0,5.48122459637,1.0115996781,27.9053883835,27.9053883835
 01/01  24:00:00,16.8017593179,1.38593504341,0.0,0.0,5.48122459637,1.0115996781,45.5134299064,45.5134299064
 01/02  01:00:00,16.5009651264,1.08514085189,0.0,0.0,5.48122459637,1.0115996781,35.5383013515,35.5383013515
 01/02  02:00:00,16.8867523439,1.47092806946,0.0,0.0,5.48122459637,1.0115996781,48.3343426416,48.3343426416
 01/02  03:00:00,16.5284221075,1.11259783304,0.0,0.0,5.48122459637,1.0115996781,36.4266025925,36.4266025925
 01/02  04:00:00,16.9914876853,1.57566341087,0.0,0.0,5.48122459637,1.0115996781,51.7893662281,51.7893662281
 01/02  05:00:00,16.6482609947,1.23243672024,0.0,0.0,5.48122459637,1.0115996781,40.3817349291,40.3817349291
 01/02  06:00:00,17.0519934635,1.63616918907,0.0,0.0,5.48122459637,1.0115996781,53.7960537989,53.7960537989
 01/02  07:00:00,18.8983050738,3.4824807993,0.0,0.0,5.48122459637,1.0115996781,70.5054360277,70.5054360277
 01/02  08:00:00,33.4397109086,3.4824807993,0.0,0.0,21.9248983855,5.05799839049,58.3477559518,58.3477559518
 01/02  09:00:00,49.9438503987,3.4824807993,0.0,0.0,38.3685721746,8.09279742479,43.2233582042,43.2233582042
 01/02  10:00:00,61.9178992695,3.4824807993,0.0,0.0,49.3310213673,9.10439710289,25.8725915601,25.8725915601
 01/02  11:00:00,61.9178992695,3.4824807993,0.0,0.0,49.3310213673,9.10439710289,11.7372393306,11.7372393306
 01/02  12:00:00,61.9178992695,3.4824807993,0.0,0.0,49.3310213673,9.10439710289,7.4938765412,7.4938765412
 01/02  13:00:00,55.425074995,3.4824807993,0.0,0.0,43.8497967709,8.09279742479,5.36113094407,5.36113094407
 01/02  14:00:00,61.9178992695,3.4824807993,0.0,0.0,49.3310213673,9.10439710289,3.73338379182,3.73338379182
 01/02  15:00:00,61.9178992695,3.4824807993,0.0,0.0,49.3310213673,9.10439710289,3.34293088801,3.34293088801
 01/02  16:00:00,61.9178992695,3.4824807993,0.0,0.0,49.3310213673,9.10439710289,3.19253297977,3.19253297977
 01/02  17:00:00,63.4050659361,3.4824807993,0.0,0.0,49.3310213673,9.10439710289,3.94509567226,3.94509567226
 01/02  18:00:00,29.4130725015,0.0,0.0,0.0,16.4436737891,4.04639871239,0.0,0.0
 01/02  19:00:00,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781,0.0,0.0
