YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2002-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.071,1,0.071,1,0.250,1,0.16,0
2002-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.071,1,0.071,1,0.250,1,0.16,0
2002-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.071,1,0.071,1,0.250,1,0.16,0
2002-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.071,1,0.071,1,0.250,1,0.16,0
2002-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.071,1,0.071,1,0.250,1,0.16,0
2002-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.071,1,0.071,1,0.250,1,0.16,0
2002-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.071,1,0.071,1,0.250,1,0.16,0
2002-01-01,8:00,86.9,121.6,49,908,3,0,8,0,0,15,3,0,8,8,10,0,16,8,10,14,10,60,16,11,10,-9900,99,-9900,99,-9900,99,3.3,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,9:00,79.1,129.7,267,1415,60,0,8,0,0,15,60,0,8,76,10,68,16,63,10,127,10,406,16,50,10,-9900,99,-9900,99,-9900,99,3.3,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,10:00,70.7,141.0,467,1415,70,0,8,0,0,15,70,0,8,189,10,165,16,134,10,274,10,609,16,73,10,-9900,99,-9900,99,-9900,99,3.4,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,11:00,64.2,154.2,615,1415,110,0,8,0,0,15,110,0,8,220,10,109,16,173,10,395,10,704,16,89,10,-9900,99,-9900,99,-9900,99,3.4,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,12:00,60.5,169.1,698,1415,91,0,8,0,0,15,91,0,8,137,10,0,16,137,10,466,10,746,16,98,10,-9900,99,-9900,99,-9900,99,3.4,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,13:00,59.8,185.0,711,1415,123,0,8,0,0,15,123,0,8,141,10,0,16,141,10,477,10,752,16,99,10,-9900,99,-9900,99,-9900,99,3.4,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,14:00,62.5,200.4,654,1415,84,0,8,0,0,15,84,0,8,126,10,0,16,126,10,429,10,728,16,93,10,-9900,99,-9900,99,-9900,99,3.1,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,15:00,68.0,214.4,529,1415,178,0,8,62,0,15,155,0,8,95,10,0,16,95,10,326,10,660,16,80,10,-9900,99,-9900,99,-9900,99,2.8,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,16:00,75.8,226.3,347,1415,81,0,8,0,0,15,81,0,8,54,10,0,16,54,10,184,10,509,16,59,10,-9900,99,-9900,99,-9900,99,2.4,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,17:00,85.0,236.6,122,1415,14,1,8,0,1,15,14,1,8,52,10,18,16,51,10,43,10,177,16,28,10,-9900,99,-9900,99,-9900,99,2.5,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,18:00,89.9,241.4,0,35,0,0,8,0,0,15,0,0,8,0,10,0,16,0,10,0,10,1,16,0,10,-9900,99,-9900,99,-9900,99,2.6,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.7,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.8,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.9,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.1,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.1,3,0.071,1,0.119,1,0.250,1,0.16,0
2002-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.1,3,0.071,1,0.119,1,0.250,1,0.16,0
